State,Year,CVD_Death,Death_LL,Death_UL,CVD_Prevalence,Prev_LL,Prev_UL,CVD_Incidence,Inci_LL,Inci_UL
Himachal Pradesh,2014,12458.4687501674,11093.0257164248,15130.3870708431,407615.82327349,381257.76806334,434902.688366196,48699.6089383956,44647.2795737514,52976.4853457188
Himachal Pradesh,2015,12802.8963677186,11382.6509267857,15053.1700421117,420831.863923605,393626.080034296,450166.379138216,50215.8655264711,45963.6489125404,54689.5035823742
Himachal Pradesh,2016,13718.7161694127,12124.0955632832,16305.961251521,437310.258809204,409039.254968233,465062.169951981,51927.8882136657,47633.7364755272,56571.5781947377
Himachal Pradesh,2017,14054.6912163645,12134.9501076908,16888.4741190929,453433.110748274,422692.782295214,484671.058547971,53668.5344281134,49129.2612144413,58668.6851055966
Himachal Pradesh,2018,14643.9977602983,12331.2938587895,17708.5513393515,465780.132821498,435150.316951761,496695.878813587,55245.3191215284,50606.0061277581,60275.7414485652
Himachal Pradesh,2019,14985.4390683047,12343.5576335964,18699.2111617406,476956.176157219,444506.838168102,509935.235790877,56727.8214261145,51629.8844420322,61820.0567716008
Jammu & Kashmir and Ladakh,2011,18116.9097135625,16570.6412618887,19914.6454258818,504853.692458942,469028.416605942,541648.570019807,62461.1962473439,57368.7809705126,67879.6351755091
Jammu & Kashmir and Ladakh,2012,19495.3635578133,17952.6614808085,21364.0244233471,526299.58303416,488676.518820145,562635.023720441,64846.8831652078,59636.1504232935,70344.5795600583
Jammu & Kashmir and Ladakh,2013,20533.2894301586,18794.9615293902,22395.1758189198,547571.775808889,510510.869390927,585419.858314434,67274.8266205943,61974.3697699741,72883.1592053398
Jammu & Kashmir and Ladakh,2014,21300.3816494847,19558.2038967694,23208.9484571884,567774.389824098,530289.72994566,605881.20870636,69589.8561363295,64109.2667601581,75286.5820935474
Jammu & Kashmir and Ladakh,2015,21883.1068577925,19998.9344556154,23978.4736876838,585922.100246581,547198.384602097,626647.749700122,71655.2007997292,66032.176198776,77633.6594167195
Jammu & Kashmir and Ladakh,2016,21871.921658071202,19900.1409877588,24542.3755763797,602458.342720221,561728.33800277,643352.033445393,73330.5103173282,67543.543462223,79274.4095531911
Jammu & Kashmir and Ladakh,2017,22519.8749924775,19862.1638721932,26073.290564227,618207.404097486,573739.652380678,660535.147067117,75048.0773055203,69078.3359028585,81279.2328483323
Jammu & Kashmir and Ladakh,2018,23531.0500623427,20543.8032995173,27734.292094419,632674.181066254,587542.446678105,676545.724142127,77012.4817655958,70857.3438991247,83404.270267105
