State,Year,Forecasted_CVD_Deaths,Lower_80,Upper_80,Lower_95,Upper_95
Madhya Pradesh,2026,175113.03679902034,169316.352084982,180909.72151305867,166247.77255628112,183978.30104175955
Madhya Pradesh,2027,179467.04835877367,173270.13173617906,185663.96498136828,169989.6822331885,188944.41448435883
Madhya Pradesh,2028,183821.05991852703,177248.2372691006,190393.88256795346,173768.79513574362,193873.32470131043
Madhya Pradesh,2029,188175.07147828036,181246.7080687704,195103.43488779032,177579.05402604924,198771.08893051147
Madhya Pradesh,2030,192529.08303803368,185262.5541908013,199795.61188526606,181415.88617876836,203642.279897299
Maharashtra,2020,284334.3249450576,275821.46374060784,292847.1861495074,271315.02723227337,297353.6226578419
Maharashtra,2021,292516.82499881124,280477.8212288786,304555.8287687439,274104.75760081876,310928.8923968037
Maharashtra,2022,300699.3250525649,285954.61692867585,315444.03317645396,278149.2399351573,323249.4101699725
Maharashtra,2023,308881.8251063185,291856.1026974189,325907.54751521815,282843.22968075005,334920.420531887
Maharashtra,2024,317064.3251600721,298028.98882390163,336099.6614962426,287952.29045497905,346176.3598651652
Maharashtra,2025,325246.8252138258,304394.65901178913,346098.99141586246,293356.1890081203,357137.4614195313
Maharashtra,2026,333429.3252675794,310906.41157499544,355952.2389601634,298983.50127484027,367875.14926031855
Maharashtra,2027,341611.825321333,317533.81778146763,365689.8328611984,304787.690525348,378435.960117318
Maharashtra,2028,349794.3253750866,324255.7417617372,375332.90898843604,310736.4322367339,388852.21851343935
Maharashtra,2029,357976.82542884024,331056.7946178945,384896.85623978596,316806.19112062134,399147.45973705914
Maharashtra,2030,366159.32548259385,337925.35897506087,394393.29199012683,322979.1999353563,409339.4510298314
Manipur,2020,5218.166920253106,5157.248567820416,5279.085272685796,5125.000340011092,5311.33350049512
Manipur,2021,5377.951026783901,5291.799466576168,5464.102586991635,5246.193585445724,5509.708468122079
Manipur,2022,5537.735133314696,5432.221451787891,5643.248814841501,5376.365882768086,5699.104383861307
Manipur,2023,5697.519239845493,5575.682534980114,5819.355944710872,5511.186079361465,5883.852400329521
Manipur,2024,5857.303346376288,5721.085769259504,5993.520923493072,5648.976539723955,6065.63015302862
Manipur,2025,6017.087452907083,5867.868573475959,6166.3063323382075,5788.876870234084,6245.298035580083
Manipur,2026,6176.871559437879,6015.696748621196,6338.046370254562,5930.375957615166,6423.367161260592
Manipur,2027,6336.655665968675,6164.352545553207,6508.9587863841425,6073.1407832923205,6600.170548645029
Manipur,2028,6496.439772499471,6313.684715201402,6679.19482979754,6216.940031773429,6775.939513225512
Manipur,2029,6656.223879030265,6463.583134038106,6848.864624022424,6361.60528365666,6950.842474403871
Manipur,2030,6816.007985561062,6613.964667695196,7018.051303426928,6507.009395897763,7125.006575224361
Meghalaya,2020,2929.5560843932203,2875.3371031989386,2983.775065587502,2846.6353082993705,3012.47686048707
Meghalaya,2021,3017.373335388491,2940.696116845486,3094.050553931496,2900.105649234066,3134.641021542916
Meghalaya,2022,3105.190586383761,3011.2805562206436,3199.1006165468784,2961.56758918617,3248.813583581352
Meghalaya,2023,3193.007837379031,3084.5698749904677,3301.4457997675945,3027.1662851913316,3358.8493895667307
Meghalaya,2024,3280.8250883743017,3159.587760753105,3402.062415995498,3095.408596281414,3466.2415804671896
Meghalaya,2025,3368.6423393695723,3235.8335010700252,3501.4511776691193,3165.5287488640665,3571.755929875078
Meghalaya,2026,3456.4595903648424,3313.009649785485,3599.9095309441996,3237.071838300046,3675.847342429639
Meghalaya,2027,3544.2768413601125,3390.9224042741025,3697.6312784461225,3309.7414690512624,3778.8122136689626
Meghalaya,2028,3632.094092355383,3469.437148772538,3794.751035938228,3383.3317640738337,3880.8564206369324
Meghalaya,2029,3719.9113433506536,3548.4558703628873,3891.36681633842,3457.692825545248,3982.129861156059
Meghalaya,2030,3807.7285943459237,3627.904577209156,3987.5526114826916,3532.711492717552,4082.7456959742954
