State,Year,Forecasted_CVD_Deaths,Lower_80,Upper_80,Lower_95,Upper_95,Forecasted_CVD_DALY
Odisha,2020,4183.46,4047.114186484682,4319.805813515319,3974.9370727003266,4391.982927299673,NA
Odisha,2021,4183.46,3990.637901353843,4376.282098646157,3888.5640481470623,4478.355951852937,NA
Odisha,2022,4183.46,3947.302123592157,4419.617876407844,3822.287695373974,4544.632304626026,NA
Odisha,2023,4183.46,3910.768372969362,4456.151627030637,3766.414145400653,4600.505854599347,NA
Odisha,2024,4183.46,3878.5814925322375,4488.338507467763,3717.188559690683,4649.731440309317,NA
Odisha,2025,4183.46,3849.4823283227984,4517.437671677201,3672.685228444327,4694.2347715556725,NA
Odisha,2026,4183.46,3822.7228851336768,4544.197114866323,3631.7601917098623,4735.159808290137,NA
Odisha,2027,4183.46,3797.8158027076865,4569.104197292314,3593.668096294126,4773.251903705874,NA
Odisha,2028,4183.46,3774.422559454043,4592.497440545957,3557.8912181009796,4809.02878189902,NA
Odisha,2029,4183.46,3752.296679863023,4614.623320136977,3524.0526053673275,4842.867394632673,NA
Odisha,2030,4183.46,3731.2520948339193,4635.667905166081,3491.867689960426,4875.052310039574,NA
Punjab,2020,7357.803750000017,7285.816446388524,7429.7910536115105,7247.708669773793,7467.898830226241,NA
Punjab,2021,7454.1075000000355,7352.302078913993,7555.912921086078,7298.409544393555,7609.805455606516,NA
Punjab,2022,7550.411250000054,7425.725582645062,7675.096917355046,7359.720977384862,7741.101522615246,NA
Punjab,2023,7646.715000000071,7502.740392777086,7790.689607223057,7426.524839547623,7866.905160452519,NA
Punjab,2024,7743.018750000089,7582.050245607876,7903.987254392303,7496.838666625959,7989.198833374219,NA
Punjab,2025,7839.322500000107,7662.990338193136,8015.654661807077,7569.645730255079,8108.999269745134,NA
Punjab,2026,7935.626250000125,7745.165747090013,8126.086752910237,7644.342047149831,8226.91045285042,NA
Punjab,2027,8031.930000000142,7828.319157828057,8235.540842172228,7720.534088787182,8343.325911213102,NA
Punjab,2028,8128.23375000016,7912.271839165682,8344.195660834639,7797.948509321488,8458.518990678833,NA
Punjab,2029,8224.537500000179,7996.8936579737965,8452.18134202656,7876.386287306344,8572.688712694013,NA
Punjab,2030,8320.841250000196,8082.086374251478,8559.596125748914,7955.697177625734,8685.985322374658,NA
Rajasthan,2020,3569.380000001928,3471.015483326094,3667.7445166777616,3418.944453571616,3719.815546432239,NA
Rajasthan,2021,3659.640000003856,3520.5315664646173,3798.748433543094,3446.892009979101,3872.38799002861,NA
Rajasthan,2022,3749.900000005784,3579.527659461284,3920.272340550284,3489.3379903240975,4010.4620096874705,NA
Rajasthan,2023,3840.160000007712,3643.430966656045,4036.889033359379,3539.2889071470886,4141.031092868336,NA
Rajasthan,2024,3930.42000000964,3710.470254148564,4150.369745870716,3594.035891959137,4266.804108060142,NA
Rajasthan,2025,4020.680000011568,3779.7371253602887,4261.622874662848,3652.189672080537,4389.170327942599,NA
Rajasthan,2026,4110.940000013496,3850.691951056174,4371.188048970817,3712.92495581478,4508.955044212211,NA
Rajasthan,2027,4201.200000015424,3922.983132936947,4479.416867093901,3775.704019965915,4626.695980064933,NA
Rajasthan,2028,4291.460000017352,3996.3664499898514,4586.553550044853,3840.1533607264178,4742.766639308287,NA
