State,Year,Forecasted_CVD_DALY,Lower_80,Upper_80,Lower_95,Upper_95
Meghalaya,2020,87200.2793262761,85652.49426711588,88748.06438543632,84833.14634987178,89567.41230268042
Meghalaya,2021,89162.22662175719,86973.32799945437,91351.12524406001,85814.5950625856,92509.85818092877
Meghalaya,2022,91124.17391723828,88443.33155557679,93805.01627889977,87024.17933383425,95224.1685006423
Meghalaya,2023,93086.12121271937,89990.55109439895,96181.6913310398,88351.85525991072,97820.38716552802
Meghalaya,2024,95048.06850820046,91587.11590135969,98509.02111504124,89754.99826117899,100341.13875522194
Meghalaya,2025,97010.01580368157,93218.73217723558,100801.29943012756,91211.74785817537,102808.28374918777
Meghalaya,2026,98971.96309916265,94876.90874964333,103067.01744868196,92709.11792337667,105234.80827494862
Meghalaya,2027,100933.91039464375,96556.11315003812,105311.70763924939,94238.64727630059,107629.17351298692
Meghalaya,2028,102895.85769012483,98252.50251264419,107539.21286760547,95794.45876091186,109997.2566193378
Meghalaya,2029,104857.80498560594,99963.27887028121,109752.33110093066,97372.27325567466,112343.33671553721
Meghalaya,2030,106819.75228108701,101686.32998373455,111953.17457843947,98968.86036947666,114670.64419269736
Mizoram,2020,19486.829322219997,18847.98187684426,20125.676767595734,18509.796467502387,20463.862176937608
Mizoram,2021,19805.340820757,18901.874099219225,20708.807542294773,18423.60770673125,21187.073934782748
Mizoram,2022,20123.852319293997,19017.336085617637,21230.368552970358,18431.581774259033,21816.12286432896
Mizoram,2023,20442.363817831,19164.668927079525,21720.058708582474,18488.29810839578,22396.42952726622
Mizoram,2024,20760.875316367998,19332.369001255764,22189.38163148023,18576.16343696874,22945.587195767253
Mizoram,2025,21079.386814905,19514.53655025389,22644.237079556107,18686.154858912043,23472.618770897956
Mizoram,2026,21397.898313441998,19707.666847268876,23088.12977961512,18812.912357119698,23982.884269764298
Mizoram,2027,21716.409811979,19909.47636890345,23523.343255054548,18952.943583927503,24479.876040030496
Mizoram,2028,22034.921310515998,20118.378974388786,23951.46364664321,19103.822746363163,24966.019874668833
Mizoram,2029,22353.432809053,20333.219804285665,24373.645813820334,19263.78363932896,25443.081978777038
Mizoram,2030,22671.944307589998,20553.12703300161,24790.761582178387,19431.492920641864,25912.395694538132
Nagaland,2020,58559.1093294159,57760.6765440549,59357.5421147769,57338.01175873911,59780.20690009269
Nagaland,2021,58559.1093294159,57429.95485571505,59688.26380311675,56832.216583983936,60286.002074847864
Nagaland,2022,58559.1093294159,57176.183178741914,59942.035480089886,56444.106296004764,60674.112362827036
Nagaland,2023,58559.1093294159,56962.243758693905,60155.974900137895,56116.914188062314,61001.304470769486
Nagaland,2024,58559.1093294159,56773.75934588421,60344.45931294759,55828.652154222735,61289.566504609065
Nagaland,2025,58559.1093294159,56603.35641137233,60514.86224745947,55568.043355105634,61550.175303726166
Nagaland,2026,58559.1093294159,56446.654740750084,60671.563918081716,55328.388830859985,61789.829827971815
Nagaland,2027,58559.1093294159,56300.800382014204,60817.418276817596,55105.32383855198,62012.89482027982
Nagaland,2028,58559.1093294159,56163.810973332904,60954.407685498896,54895.81661738551,62222.40204144629
Nagaland,2029,58559.1093294159,56034.243169122805,61083.975489708995,54697.65976077879,62420.55889805301
Nagaland,2030,58559.1093294159,55911.007360055104,61207.211298776696,54509.18685506649,62609.03180376531
Odisha,2020,2543964.5839629592,2498092.8475731895,2589836.320352729,2473809.8171556965,2614119.350770222
Odisha,2021,2587063.973037999,2522191.5413059834,2651936.404770015,2487850.150354046,2686277.7957219523
Odisha,2022,2630163.3621130385,2550711.184054551,2709615.540171526,2508651.7416097126,2751674.9826163645
Odisha,2023,2673262.751188078,2581519.2784085386,2765006.2239676174,2532953.217573552,2813572.284802604
Odisha,2024,2716362.1402631174,2613789.8194496413,2818934.4610765935,2559491.3127364316,2873232.967789803
Odisha,2025,2759461.529338157,2647099.181567762,2871823.8771085516,2587618.1476364206,2931304.911039893
Odisha,2026,2802560.9184131967,2681195.711719154,2923926.1251072395,2616948.8521554503,2988172.984670943
Odisha,2027,2845660.307488236,2715915.4440242043,2975405.170952268,2647232.66212033,3044087.952856142
Odisha,2028,2888759.6965632755,2751144.487393966,3026374.905732585,2678295.3961414867,3099223.9969850644
Odisha,2029,2931859.0856383154,2786799.9184198133,3076918.2528568176,2710010.233809386,3153707.937467245
Odisha,2030,2974958.474713355,2822819.1366263963,3127097.8128003133,2742281.4359587845,3207635.513467925
Punjab,2020,2506298.036329202,2444106.0005497397,2568490.072108664,2411183.525504838,2601412.5471535656
Punjab,2021,2546127.375107774,2458174.554636866,2634080.1955786822,2411615.1439214763,2680639.606294072
Punjab,2022,2585956.7138863457,2478236.9480901756,2693676.479682516,2421213.5486014877,2750699.879171204
Punjab,2023,2625786.052664918,2501401.9811059935,2750170.1242238423,2435557.0310161905,2816015.0743136453
Punjab,2024,2665615.3914434896,2526549.771781513,2804681.011105466,2452932.8795935726,2878297.9032934066
Punjab,2025,2705444.7302220613,2553105.9764974643,2857783.483946658,2472462.7115679425,2938426.74887618
Punjab,2026,2745274.0690006334,2580729.4087993456,2909818.7292019213,2493624.7272858056,2996923.4107154612
Punjab,2027,2785103.407779205,2609197.7668373887,2961009.0487210215,2516078.9454066097,3054127.8701518006
Punjab,2028,2824932.746557777,2638356.63921939,3011508.8538961634,2539589.214084686,3110276.279030868
Punjab,2029,2864762.085336349,2668093.599950563,3061430.570722135,2563983.59259862,3165540.578074078
Punjab,2030,2904591.424114921,2698323.7764860867,3110859.0717437556,2589132.279592309,3220050.568637533
Rajasthan,2020,3017586.0142365005,2982419.9527220842,3052752.0757509167,2963804.164251333,3071367.864221668
Rajasthan,2021,3093563.673166191,3043831.352037257,3143295.9942951254,3017504.651507652,3169622.6948247305
Rajasthan,2022,3169541.332095882,3108631.92685082,3230450.737340944,3076388.435396524,3262694.2287952397
Rajasthan,2023,3245518.9910255726,3175186.8679967397,3315851.1140544056,3137955.2910552374,3353082.690995908
Rajasthan,2024,3321496.6499552634,3242862.945908089,3400130.3540024376,3201236.7774327327,3441756.522477794
Rajasthan,2025,3397474.308884954,3311335.4019113085,3483613.2158585996,3265736.2189983823,3529212.398771526
Rajasthan,2026,3473451.967814645,3380411.3144578994,3566492.62117139,3331158.5677049085,3615745.367924381
Rajasthan,2027,3549429.6267443355,3449964.9844864667,3648894.2690022043,3397311.583427257,3701547.670061414
Rajasthan,2028,3625407.2856740262,3519909.101130777,3730905.4702172754,3464061.7357185236,3786752.835629529
Rajasthan,2029,3701384.944603717,3590180.093880571,3812589.795326863,3531311.8018730944,3871458.0873343395
Rajasthan,2030,3777362.6035334077,3660729.9721355313,3893995.234931284,3598988.3866014257,3955736.8204653896
Sikkim,2020,21258.686500787233,20958.824722996735,21558.54827857773,20800.08748642781,21717.285515146657
Sikkim,2021,21510.193867625763,21086.125274637132,21934.262460614395,20861.636921827732,22158.750813423794
Sikkim,2022,21761.701234464297,21242.325400083224,22281.07706884537,20967.384441292765,22556.01802763583
Sikkim,2023,22013.208601302827,21413.485045721827,22612.932156883828,21096.01057258398,22930.406630021676
Sikkim,2024,22264.715968141358,21594.204649147865,22935.22728713485,21239.257397619283,23290.174538663432
Sikkim,2025,22516.22333497989,21781.714986029336,23250.731683930448,21392.889753256004,23639.55691670378
Sikkim,2026,22767.730701818422,21974.37101009105,23561.090393545794,21554.391758324044,23981.0696453128
Sikkim,2027,23019.238068656952,22171.10088267969,23867.375254634215,21722.124177060887,24316.351960253018
Sikkim,2028,23270.745435495486,22371.160102123988,24170.330768866985,21894.948392417213,24646.54247857376
Sikkim,2029,23522.252802334016,22574.006601288744,24470.49900337929,22072.035384249968,24972.470220418065
Sikkim,2030,23773.76016917255,22779.231163272536,24768.289175072565,22252.75930931553,25294.76102902957
Tamil Nadu,2020,6156679.85690951,6074567.817613269,6238791.89620575,6031100.329682779,6282259.384136241
Tamil Nadu,2021,6232137.191983509,6116013.232376654,6348261.151590364,6054540.921423064,6409733.462543954
Tamil Nadu,2022,6307594.527057509,6165372.3030833285,6449816.751031689,6090084.405510331,6525104.648604687
Tamil Nadu,2023,6383051.862131509,6218827.783539028,6547275.94072399,6131892.807678046,6634210.916584972
Tamil Nadu,2024,6458509.197205509,6274901.095567982,6642117.298843036,6177704.837744252,6739313.556666766
Tamil Nadu,2025,6533966.532279509,6332833.934264359,6735099.130294659,6226360.768434069,6841572.296124949
Tamil Nadu,2026,6609423.867353509,6392175.831731294,6826671.902975724,6277171.668550513,6941676.066156506
